collectorNumber,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_fr,supportAbility_fr,id,imagePath
BTG-005-C-FR,Récupérateur Axiom,Axiom,Commun,Personnage,1,2,1,1,1,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_COREKS_B_AX_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/b45f1e125541170cc0dabefa71dc96e0.jpg
BTG-005-R-FR,Récupérateur Axiom,Axiom,Rare,Personnage,1,#1#,1,1,#0#,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_COREKS_B_AX_08_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/30f892a4a18147b5ee2eae9bb4c2e338.jpg
BTG-005-R-FR,Récupérateur Axiom,Axiom,Rare,Personnage,1,#1#,1,1,#0#,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_08_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/069c88f1b7eae308649b6af888918ede.jpg
BTG-005-F-FR,Récupérateur Axiom,Bravos,Rare,Personnage,1,2,1,1,1,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_COREKS_B_AX_08_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/8fd5ffff6b3728cfffdcc9627aadadd0.jpg
BTG-005-F-FR,Récupérateur Axiom,Bravos,Rare,Personnage,1,2,1,1,1,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_08_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/a805a70713aa2297b2e5f3968bf164ee.jpg
BTG-006-C-FR,Ada Lovelace,Axiom,Commun,Personnage,2,2,1,3,1,,,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un Permanent, piochez une carte.",,ALT_COREKS_B_AX_13_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/a8b444a7e8537a15342fac7b5be869cd.jpg
BTG-006-C-FR,Ada Lovelace,Axiom,Commun,Personnage,2,2,1,3,1,,,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un Permanent, piochez une carte.",,ALT_CORE_B_AX_13_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/07812c9c76769936310bd766fbd491fc.jpg
BTG-006-R-FR,Ada Lovelace,Axiom,Rare,Personnage,2,2,1,#2#,1,,,{R} Vous pouvez mettre une carte de votre main en Réserve #pour piocher une carte#.,,ALT_COREKS_B_AX_13_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/389597471dbada9114dbfd8fe258e423.jpg
BTG-006-R-FR,Ada Lovelace,Axiom,Rare,Personnage,2,2,1,#2#,1,,,{R} Vous pouvez mettre une carte de votre main en Réserve #pour piocher une carte#.,,ALT_CORE_B_AX_13_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/1833f9ed61a92589be7b7d4266e52ef5.jpg
BTG-006-F-FR,Ada Lovelace,Yzmir,Rare,Personnage,2,2,1,3,1,,,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un #Sort#, piochez une carte.",,ALT_COREKS_B_AX_13_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/4edc79e5ad964e7ca9d1ddfd8579a99a.jpg
BTG-006-F-FR,Ada Lovelace,Yzmir,Rare,Personnage,2,2,1,3,1,,,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un #Sort#, piochez une carte.",,ALT_CORE_B_AX_13_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/455f48ee7adf27f4a1dc3f72190f7857.jpg
BTG-007-C-FR,Coppélia,Axiom,Commun,Personnage,2,2,2,2,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_AX_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/2b11c3149bc8ed175e4b454c6cf2d8d7.jpg
BTG-007-C-FR,Coppélia,Axiom,Commun,Personnage,2,2,2,2,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_COREKS_B_AX_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/1bdf3094d3a715a2c7855a389be24c48.jpg
BTG-007-R-FR,Coppélia,Axiom,Rare,Personnage,2,2,#3#,#3#,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_AX_14_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/593da3f8f7c0b39bd2d721ffd8fbc97b.jpg
BTG-007-R-FR,Coppélia,Axiom,Rare,Personnage,2,2,#3#,#3#,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_COREKS_B_AX_14_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/69e69aac3acbd65337005a1b7ecc3423.jpg
BTG-007-F-FR,Coppélia,Muna,Rare,Personnage,2,2,#3#,#3#,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_COREKS_B_AX_14_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/15a0c27f3c7a5c142f9049b27e521c61.jpg
BTG-007-F-FR,Coppélia,Muna,Rare,Personnage,2,2,#3#,#3#,0,,,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_AX_14_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/867996a42e0b5ad12644270f45dab40f.jpg
BTG-008-C-FR,Ingénieure de la Fonderie,Axiom,Commun,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte {1} de moins.,,ALT_CORE_B_AX_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/ee92e8bf09111599be23ef285e0282d5.jpg
BTG-008-C-FR,Ingénieure de la Fonderie,Axiom,Commun,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte {1} de moins.,,ALT_COREKS_B_AX_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/61b6084a09c6fdff27bf6119ff23f195.jpg
BTG-008-R-FR,Ingénieure de la Fonderie,Axiom,Rare,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,ALT_CORE_B_AX_05_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/2f7385584b3a8e53ae874d09a4b06479.jpg
BTG-008-R-FR,Ingénieure de la Fonderie,Axiom,Rare,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,ALT_COREKS_B_AX_05_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/2d128ca08f461ddf6fec3858e61dd80e.jpg
BTG-008-F-FR,Ingénieure de la Fonderie,Ordis,Rare,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,ALT_CORE_B_AX_05_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/de02eb5d76c19ddeb3e985aac0d15619.jpg
BTG-008-F-FR,Ingénieure de la Fonderie,Ordis,Rare,Personnage,2,2,2,2,1,,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,ALT_COREKS_B_AX_05_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/b8614c364099bb86d62bcc8c51840330.jpg
BTG-009-C-FR,"Jian, Superviseur d'Assemblage",Axiom,Commun,Personnage,2,2,3,2,0,,,,,ALT_CORE_B_AX_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/9a03425c92dabfed748f4ead05838698.jpg
BTG-009-C-FR,"Jian, Superviseur d'Assemblage",Axiom,Commun,Personnage,2,2,3,2,0,,,,,ALT_COREKS_B_AX_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/f1a64e4f2fefef99a035cd4b6f5120b2.jpg
BTG-009-R-FR,"Jian, Superviseur d'Assemblage",Axiom,Rare,Personnage,2,2,3,2,0,,,,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_10_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/730a937931d0510f51fbba6ce8761fd0.jpg
BTG-009-R-FR,"Jian, Superviseur d'Assemblage",Axiom,Rare,Personnage,2,2,3,2,0,,,,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_10_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/553012bec41576e3817b77588aa239e1.jpg
BTG-009-F-FR,"Jian, Superviseur d'Assemblage",Ordis,Rare,Personnage,2,2,3,2,0,,,,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_10_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/c4b338e587581c91bc09dfd5e0ee3bb8.jpg
BTG-009-F-FR,"Jian, Superviseur d'Assemblage",Ordis,Rare,Personnage,2,2,3,2,0,,,,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_10_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/9d88dcdab3b37aa81138ccb624178ec3.jpg
BTG-010-C-FR,Élémentaire de Kélon,Axiom,Commun,Personnage,2,2,1,3,3,,,{H} Mettez une carte de votre main en Réserve.,,ALT_COREKS_B_AX_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/56a62f45d5f65e20277fb477096651fb.jpg
BTG-010-C-FR,Élémentaire de Kélon,Axiom,Commun,Personnage,2,2,1,3,3,,,{H} Mettez une carte de votre main en Réserve.,,ALT_CORE_B_AX_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/d1ab7926496554e968bf3609d0a2cdb9.jpg
BTG-010-R-FR,Élémentaire de Kélon,Axiom,Rare,Personnage,2,2,1,3,3,,,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,ALT_COREKS_B_AX_04_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/ada2102f33aaf3f5e36714c42e320564.jpg
BTG-010-R-FR,Élémentaire de Kélon,Axiom,Rare,Personnage,2,2,1,3,3,,,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,ALT_CORE_B_AX_04_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/fc40643ff847abc698aa446f97ed5625.jpg
BTG-010-F-FR,Élémentaire de Kélon,Muna,Rare,Personnage,2,2,1,3,3,,,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,ALT_COREKS_B_AX_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/b83f199a4fbbb77af35b4534b9374813.jpg
BTG-010-F-FR,Élémentaire de Kélon,Muna,Rare,Personnage,2,2,1,3,3,,,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,ALT_CORE_B_AX_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/9295458f656a6e7ca9bd94a66f70c182.jpg
BTG-011-C-FR,Ogun,Axiom,Commun,Personnage,2,2,2,1,1,,,{J} Les Robots que vous contrôlez gagnent 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_COREKS_B_AX_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/4860e95619eaa4f7ea04dfef530410cc.jpg
BTG-011-C-FR,Ogun,Axiom,Commun,Personnage,2,2,2,1,1,,,{J} Les Robots que vous contrôlez gagnent 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_AX_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/f9e526f4085b7cfe7d931bea6ba550e3.jpg
BTG-011-R-FR,Ogun,Axiom,Rare,Personnage,2,2,2,1,1,,,"{J} #Vous pouvez payer {2} pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.# Puis, les Robots que vous contrôlez gagnent 1 boost.",,ALT_COREKS_B_AX_06_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/9aea34acdc8598ec3d5c6e3ad4e4bcf3.jpg
BTG-011-R-FR,Ogun,Axiom,Rare,Personnage,2,2,2,1,1,,,"{J} #Vous pouvez payer {2} pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.# Puis, les Robots que vous contrôlez gagnent 1 boost.",,ALT_CORE_B_AX_06_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/1b0aa7a731ec4064b3874f10c3fc5e53.jpg
BTG-011-F-FR,Ogun,Muna,Rare,Personnage,2,2,2,1,1,,,{J} #Les Plantes# que vous contrôlez gagnent 1 boost.,,ALT_CORE_B_AX_06_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/7bfa82364d8b855ae8ed1735e9260499.jpg
BTG-011-F-FR,Ogun,Muna,Rare,Personnage,2,2,2,1,1,,,{J} #Les Plantes# que vous contrôlez gagnent 1 boost.,,ALT_COREKS_B_AX_06_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/2778b142b2660e32739fc7039be95a98.jpg
BTG-012-C-FR,Amelia Earhart,Axiom,Commun,Personnage,3,1,2,2,2,,,,,ALT_COREKS_B_AX_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/b7a48ed85362bb224801a3781cd21b47.jpg
BTG-012-C-FR,Amelia Earhart,Axiom,Commun,Personnage,3,1,2,2,2,,,,,ALT_CORE_B_AX_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/219fe4f6843b28d466120e8d4f564e5f.jpg
BTG-012-R-FR,Amelia Earhart,Axiom,Rare,Personnage,3,1,2,2,2,,,#{H} Je gagne 1 boost.#,,ALT_COREKS_B_AX_11_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/6d5534bc9d3f7219325636a0be656b1a.jpg
BTG-012-R-FR,Amelia Earhart,Axiom,Rare,Personnage,3,1,2,2,2,,,#{H} Je gagne 1 boost.#,,ALT_CORE_B_AX_11_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/86bae02fba5b8a4e5dd2255723a364ff.jpg
BTG-012-F-FR,Amelia Earhart,Ordis,Rare,Personnage,3,1,2,2,2,,,#{H} Je gagne 1 boost.#,,ALT_COREKS_B_AX_11_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/891bcced5b0e3a2049971fafb077767c.jpg
BTG-012-F-FR,Amelia Earhart,Ordis,Rare,Personnage,3,1,2,2,2,,,#{H} Je gagne 1 boost.#,,ALT_CORE_B_AX_11_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/d01f6de12dec9e32895cb5b047a746fe.jpg
BTG-013-C-FR,Armurière de la Fonderie,Axiom,Commun,Personnage,3,3,2,2,2,,,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/92617b6c753a9def092dc36c58b5f254.jpg
BTG-013-C-FR,Armurière de la Fonderie,Axiom,Commun,Personnage,3,3,2,2,2,,,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/ff2e526305cb21b1416c464405ca831d.jpg
BTG-013-R-FR,Armurière de la Fonderie,Axiom,Rare,Personnage,3,3,2,2,2,,,#{J}# Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_16_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/647102ed58ae40888aacc46b605f7dd7.jpg
BTG-013-R-FR,Armurière de la Fonderie,Axiom,Rare,Personnage,3,3,2,2,2,,,#{J}# Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_16_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/dc70f5f856855fbbc4fc6a81bc96c8a2.jpg
BTG-013-F-FR,Armurière de la Fonderie,Bravos,Rare,Personnage,#2#,3,2,2,2,,,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_16_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/e733f058ca0047f0a3032f5ef10d2e41.jpg
BTG-013-F-FR,Armurière de la Fonderie,Bravos,Rare,Personnage,#2#,3,2,2,2,,,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_16_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/cf08e4fbae1d3c5432dd45922e683e41.jpg
BTG-014-C-FR,Trois Petits Cochons,Axiom,Commun,Personnage,3,3,3,3,3,,,"{J} Si vous contrôlez au moins deux Repères, je gagne 1 boost[]. (Les cartes en Réserve ne sont pas contrôlées. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_AX_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_12/JPG/fr_FR/a867d5f6b3e5bc74fd3046b6a7f15c36.jpg
