collectorNumber,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,abilities_fr,supportAbility_fr,id,imagePath,inMyCollection,Kickstarter,to_give,to_get
BTG-006-F-FR,Ada Lovelace,Yzmir,Rare,Personnage,2,2,1,3,1,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un #Sort#, piochez une carte.",nan,ALT_COREKS_B_AX_13_R2 / ALT_CORE_B_AX_13_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/4edc79e5ad964e7ca9d1ddfd8579a99a.jpg,0.0,0.0,0.0,0.0
BTG-006-R-FR,Ada Lovelace,Axiom,Rare,Personnage,2,2,1,#2#,1,{R} Vous pouvez mettre une carte de votre main en Réserve #pour piocher une carte#.,nan,ALT_CORE_B_AX_13_R1 / ALT_COREKS_B_AX_13_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/389597471dbada9114dbfd8fe258e423.jpg,0.0,0.0,0.0,0.0
BTG-007-C-FR,Coppélia,Axiom,Commun,Personnage,2,2,2,2,0,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",nan,ALT_CORE_B_AX_14_C / ALT_COREKS_B_AX_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/2b11c3149bc8ed175e4b454c6cf2d8d7.jpg,2.0,0.0,0.0,1.0
BTG-007-F-FR,Coppélia,Muna,Rare,Personnage,2,2,#3#,#3#,0,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",nan,ALT_CORE_B_AX_14_R2 / ALT_COREKS_B_AX_14_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/15a0c27f3c7a5c142f9049b27e521c61.jpg,2.0,0.0,0.0,1.0
BTG-007-R-FR,Coppélia,Axiom,Rare,Personnage,2,2,#3#,#3#,0,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",nan,ALT_CORE_B_AX_14_R1 / ALT_COREKS_B_AX_14_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/fr_FR/593da3f8f7c0b39bd2d721ffd8fbc97b.jpg,0.0,0.0,0.0,0.0
BTG-008-C-FR,Ingénieure de la Fonderie,Axiom,Commun,Personnage,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte {1} de moins.,nan,ALT_COREKS_B_AX_05_C / ALT_CORE_B_AX_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/ee92e8bf09111599be23ef285e0282d5.jpg,2.0,0.0,0.0,1.0
BTG-008-F-FR,Ingénieure de la Fonderie,Ordis,Rare,Personnage,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,nan,ALT_COREKS_B_AX_05_R2 / ALT_CORE_B_AX_05_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/de02eb5d76c19ddeb3e985aac0d15619.jpg,0.0,0.0,0.0,0.0
BTG-008-R-FR,Ingénieure de la Fonderie,Axiom,Rare,Personnage,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,nan,ALT_CORE_B_AX_05_R1 / ALT_COREKS_B_AX_05_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/fr_FR/2f7385584b3a8e53ae874d09a4b06479.jpg,0.0,0.0,0.0,0.0
BTG-009-C-FR,"Jian, Superviseur d'Assemblage",Axiom,Commun,Personnage,2,2,3,2,0,nan,nan,ALT_CORE_B_AX_10_C / ALT_COREKS_B_AX_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/9a03425c92dabfed748f4ead05838698.jpg,1.0,0.0,0.0,2.0
BTG-009-F-FR,"Jian, Superviseur d'Assemblage",Ordis,Rare,Personnage,2,2,3,2,0,nan,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_10_R2 / ALT_COREKS_B_AX_10_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/c4b338e587581c91bc09dfd5e0ee3bb8.jpg,0.0,0.0,0.0,0.0
BTG-009-R-FR,"Jian, Superviseur d'Assemblage",Axiom,Rare,Personnage,2,2,3,2,0,nan,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_10_R1 / ALT_CORE_B_AX_10_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/fr_FR/730a937931d0510f51fbba6ce8761fd0.jpg,1.0,0.0,0.0,2.0
BTG-010-C-FR,Élémentaire de Kélon,Axiom,Commun,Personnage,2,2,1,3,3,{H} Mettez une carte de votre main en Réserve.,nan,ALT_CORE_B_AX_04_C / ALT_COREKS_B_AX_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/56a62f45d5f65e20277fb477096651fb.jpg,1.0,0.0,0.0,2.0
BTG-010-F-FR,Élémentaire de Kélon,Muna,Rare,Personnage,2,2,1,3,3,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,nan,ALT_CORE_B_AX_04_R2 / ALT_COREKS_B_AX_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/b83f199a4fbbb77af35b4534b9374813.jpg,0.0,0.0,0.0,0.0
BTG-010-R-FR,Élémentaire de Kélon,Axiom,Rare,Personnage,2,2,1,3,3,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,nan,ALT_CORE_B_AX_04_R1 / ALT_COREKS_B_AX_04_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_04/JPG/fr_FR/ada2102f33aaf3f5e36714c42e320564.jpg,0.0,0.0,0.0,0.0
BTG-011-C-FR,Ogun,Axiom,Commun,Personnage,2,2,2,1,1,{J} Les Robots que vous contrôlez gagnent 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),nan,ALT_COREKS_B_AX_06_C / ALT_CORE_B_AX_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/4860e95619eaa4f7ea04dfef530410cc.jpg,1.0,0.0,0.0,2.0
BTG-011-F-FR,Ogun,Muna,Rare,Personnage,2,2,2,1,1,{J} #Les Plantes# que vous contrôlez gagnent 1 boost.,nan,ALT_COREKS_B_AX_06_R2 / ALT_CORE_B_AX_06_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/7bfa82364d8b855ae8ed1735e9260499.jpg,0.0,0.0,0.0,0.0
BTG-011-R-FR,Ogun,Axiom,Rare,Personnage,2,2,2,1,1,"{J} #Vous pouvez payer {2} pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.# Puis, les Robots que vous contrôlez gagnent 1 boost.",nan,ALT_CORE_B_AX_06_R1 / ALT_COREKS_B_AX_06_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_06/JPG/fr_FR/9aea34acdc8598ec3d5c6e3ad4e4bcf3.jpg,0.0,0.0,0.0,0.0
BTG-012-C-FR,Amelia Earhart,Axiom,Commun,Personnage,3,1,2,2,2,nan,nan,ALT_CORE_B_AX_11_C / ALT_COREKS_B_AX_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/b7a48ed85362bb224801a3781cd21b47.jpg,1.0,0.0,0.0,2.0
BTG-012-F-FR,Amelia Earhart,Ordis,Rare,Personnage,3,1,2,2,2,#{H} Je gagne 1 boost.#,nan,ALT_CORE_B_AX_11_R2 / ALT_COREKS_B_AX_11_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/891bcced5b0e3a2049971fafb077767c.jpg,0.0,0.0,0.0,0.0
BTG-012-R-FR,Amelia Earhart,Axiom,Rare,Personnage,3,1,2,2,2,#{H} Je gagne 1 boost.#,nan,ALT_COREKS_B_AX_11_R1 / ALT_CORE_B_AX_11_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_11/JPG/fr_FR/6d5534bc9d3f7219325636a0be656b1a.jpg,0.0,0.0,0.0,0.0
BTG-013-C-FR,Armurière de la Fonderie,Axiom,Commun,Personnage,3,3,2,2,2,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,nan,ALT_COREKS_B_AX_16_C / ALT_CORE_B_AX_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/92617b6c753a9def092dc36c58b5f254.jpg,1.0,0.0,0.0,2.0
BTG-013-F-FR,Armurière de la Fonderie,Bravos,Rare,Personnage,#2#,3,2,2,2,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,nan,ALT_COREKS_B_AX_16_R2 / ALT_CORE_B_AX_16_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/e733f058ca0047f0a3032f5ef10d2e41.jpg,0.0,0.0,0.0,0.0
BTG-013-R-FR,Armurière de la Fonderie,Axiom,Rare,Personnage,3,3,2,2,2,#{J}# Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,nan,ALT_COREKS_B_AX_16_R1 / ALT_CORE_B_AX_16_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_16/JPG/fr_FR/647102ed58ae40888aacc46b605f7dd7.jpg,0.0,0.0,0.0,0.0
BTG-014-C-FR,Trois Petits Cochons,Axiom,Commun,Personnage,3,3,3,3,3,"{J} Si vous contrôlez au moins deux Repères, je gagne 1 boost[]. (Les cartes en Réserve ne sont pas contrôlées. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",nan,ALT_COREKS_B_AX_12_C / ALT_CORE_B_AX_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_12/JPG/fr_FR/a867d5f6b3e5bc74fd3046b6a7f15c36.jpg,1.0,0.0,0.0,2.0
BTG-014-F-FR,Trois Petits Cochons,Bravos,Rare,Personnage,3,3,3,3,3,"{J} Si vous contrôlez #au moins un# Repère, je gagne 1 boost.",nan,ALT_CORE_B_AX_12_R2 / ALT_COREKS_B_AX_12_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_12/JPG/fr_FR/876af27b9a8fb132fdad41ae196a1497.jpg,0.0,0.0,0.0,0.0
BTG-014-R-FR,Trois Petits Cochons,Axiom,Rare,Personnage,3,3,3,3,3,"{J} Si vous contrôlez au moins deux Repères, je gagne #2 boosts[]#. (Les cartes en Réserve ne sont pas contrôlées. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",nan,ALT_CORE_B_AX_12_R1 / ALT_COREKS_B_AX_12_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_12/JPG/fr_FR/7d47d2fd1cdd74fadf66d8817511c632.jpg,1.0,0.0,0.0,2.0
BTG-015-C-FR,Fée Clochette,Axiom,Commun,Personnage,3,3,1,3,3,{R} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_CORE_B_AX_09_C / ALT_COREKS_B_AX_09_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_09/JPG/fr_FR/465c33a29f9989bc08a747e2321fad3f.jpg,1.0,0.0,0.0,2.0
BTG-015-F-FR,Fée Clochette,Lyra,Rare,Personnage,#2#,3,1,3,3,{R} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_CORE_B_AX_09_R2 / ALT_COREKS_B_AX_09_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_09/JPG/fr_FR/f7387147e8ed17e0c6524be9d3571efd.jpg,0.0,0.0,0.0,0.0
BTG-015-R-FR,Fée Clochette,Axiom,Rare,Personnage,#2#,3,1,3,3,{R} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_COREKS_B_AX_09_R1 / ALT_CORE_B_AX_09_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_09/JPG/fr_FR/77a68d1ba47475fcc8cb2c2f1be1aeb4.jpg,0.0,0.0,0.0,0.0
BTG-016-C-FR,Brouilleur Axiom,Axiom,Commun,Personnage,4,3,2,4,2,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_CORE_B_AX_15_C / ALT_COREKS_B_AX_15_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_15/JPG/fr_FR/e7fa953c3ae4d9c8b4ffa3c768994439.jpg,1.0,0.0,0.0,2.0
BTG-016-F-FR,Brouilleur Axiom,Muna,Rare,Personnage,4,3,2,4,2,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_COREKS_B_AX_15_R2 / ALT_CORE_B_AX_15_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_15/JPG/fr_FR/4c61abb82264cc917b22ad329b227f04.jpg,0.0,0.0,0.0,0.0
BTG-016-R-FR,Brouilleur Axiom,Axiom,Rare,Personnage,#3#,3,2,4,2,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),nan,ALT_COREKS_B_AX_15_R1 / ALT_CORE_B_AX_15_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_15/JPG/fr_FR/e44a6a8f09efffac1ee38edeb536ced4.jpg,0.0,0.0,0.0,0.0
BTG-017-C-FR,Dr Frankenstein,Axiom,Commun,Personnage,4,3,3,3,3,{R} Vous pouvez activer les capacités {j} d'un Permanent ciblé que vous contrôlez.,nan,ALT_COREKS_B_AX_17_C / ALT_CORE_B_AX_17_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_17/JPG/fr_FR/d28cf3c58b5320a4f78c2e27f2fc0df8.jpg,2.0,0.0,0.0,1.0
BTG-017-F-FR,Dr Frankenstein,Lyra,Rare,Personnage,4,#2#,3,3,3,{R} Vous pouvez activer les capacités {j} d'un Permanent ciblé que vous contrôlez.,nan,ALT_COREKS_B_AX_17_R2 / ALT_CORE_B_AX_17_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_17/JPG/fr_FR/5a5dbd8791f12fec563363bbce5e2fd6.jpg,0.0,0.0,0.0,0.0
BTG-017-R-FR,Dr Frankenstein,Axiom,Rare,Personnage,4,#2#,3,3,3,{R} Vous pouvez activer les capacités {j} d'un Permanent ciblé que vous contrôlez.,nan,ALT_CORE_B_AX_17_R1 / ALT_COREKS_B_AX_17_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_17/JPG/fr_FR/461c63e3e21f331100b4e579d422263f.jpg,0.0,0.0,0.0,0.0
BTG-018-C-FR,Athéna,Axiom,Commun,Personnage,5,3,3,4,4,"{R} Si vous contrôlez au moins deux Repères, je perds [[Fugace]].",nan,ALT_CORE_B_AX_18_C / ALT_COREKS_B_AX_18_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_18/JPG/fr_FR/6717aeead848d23ac452e0c3864ede58.jpg,2.0,0.0,0.0,1.0
BTG-018-F-FR,Athéna,Ordis,Rare,Personnage,5,3,3,4,4,"#{H} Si vous contrôlez au moins deux autres Personnages, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux #autres Personnages#, je perds [[Fugace]].",nan,ALT_COREKS_B_AX_18_R2 / ALT_CORE_B_AX_18_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_18/JPG/fr_FR/fcc399c9944250b46d0e1cca8d4a105a.jpg,2.0,1.0,0.0,1.0
BTG-018-R-FR,Athéna,Axiom,Rare,Personnage,5,3,3,4,4,"#{H} Si vous contrôlez au moins deux Repères, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux Repères, je perds [[Fugace]].",nan,ALT_CORE_B_AX_18_R1 / ALT_COREKS_B_AX_18_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_18/JPG/fr_FR/b1076db6538045324913b68189f08ecc.jpg,1.0,0.0,0.0,2.0
BTG-019-C-FR,Ganesh,Axiom,Commun,Personnage,7,7,5,5,5,"{J} Pour chaque Permanent que vous contrôlez, vous pouvez activer ses capacités {j}.",nan,ALT_COREKS_B_AX_19_C / ALT_CORE_B_AX_19_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_19/JPG/fr_FR/1dc82f395579ed2b65000c36818476d3.jpg,2.0,0.0,0.0,1.0
BTG-019-F-FR,Ganesh,Muna,Rare,Personnage,7,7,5,5,5,"{J} Pour chaque #autre Personnage# que vous contrôlez, vous pouvez activer ses capacités {j}.",nan,ALT_COREKS_B_AX_19_R2 / ALT_CORE_B_AX_19_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_19/JPG/fr_FR/beba4d4c33bef0ccc11b2711b2143e1e.jpg,0.0,0.0,0.0,0.0
BTG-019-R-FR,Ganesh,Axiom,Rare,Personnage,#6#,#6#,#4#,#4#,#4#,"{J} Pour chaque Permanent que vous contrôlez, vous pouvez activer ses capacités {j}.",nan,ALT_COREKS_B_AX_19_R1 / ALT_CORE_B_AX_19_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_19/JPG/fr_FR/3cc71fdd6260b03aa8a9378431ca1ae6.jpg,0.0,0.0,0.0,0.0
BTG-020-C-FR,Happé,Axiom,Commun,Sort,1,2,nan,nan,nan,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),nan,ALT_COREKS_B_AX_20_C / ALT_CORE_B_AX_20_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_20/JPG/fr_FR/7d6ce49c8ff157a8440df658f3568e72.jpg,1.0,0.0,0.0,2.0
BTG-020-F-FR,Happé,Lyra,Rare,Sort,1,2,nan,nan,nan,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),nan,ALT_COREKS_B_AX_20_R2 / ALT_CORE_B_AX_20_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_20/JPG/fr_FR/f672caa17fc8e969ae69f3d1e1270983.jpg,0.0,0.0,0.0,0.0
BTG-020-R-FR,Happé,Axiom,Rare,Sort,#2#,2,nan,nan,nan,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.)  #Piochez une carte.#,nan,ALT_COREKS_B_AX_20_R1 / ALT_CORE_B_AX_20_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_20/JPG/fr_FR/de86fe33b1cf388d505768978dd485a3.jpg,0.0,0.0,0.0,0.0
BTG-021-C-FR,Entraînement Mécanique,Axiom,Commun,Sort,1,2,nan,nan,nan,Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.,nan,ALT_CORE_B_AX_22_C / ALT_COREKS_B_AX_22_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_22/JPG/fr_FR/6376184165eb0c586cb1654a1a7c55b6.jpg,1.0,0.0,0.0,2.0
BTG-021-F-FR,Entraînement Mécanique,Muna,Rare,Sort,#2#,2,nan,nan,nan,Activez les capacités {j} d'un #Personnage# ciblé que vous contrôlez.,nan,ALT_CORE_B_AX_22_R2 / ALT_COREKS_B_AX_22_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_22/JPG/fr_FR/79ed1962de5959a274614cfb866c5bc0.jpg,0.0,0.0,0.0,0.0
BTG-021-R-FR,Entraînement Mécanique,Axiom,Rare,Sort,#2#,2,nan,nan,nan,Activez les capacités {j} de #jusqu'à deux# Permanents ciblés que vous contrôlez.,nan,ALT_CORE_B_AX_22_R1 / ALT_COREKS_B_AX_22_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_22/JPG/fr_FR/2a9108cb087b08712430901e8c0077c5.jpg,1.0,0.0,0.0,2.0
BTG-022-C-FR,Boum !,Axiom,Commun,Sort,3,3,nan,nan,nan,"[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Sacrifiez un Personnage. Si vous le faites, défaussez un Personnage ou un Permanent ciblé.",nan,ALT_CORE_B_AX_21_C / ALT_COREKS_B_AX_21_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_21/JPG/fr_FR/c6ef2ecbe79b0d70e6821bed2524a01c.jpg,3.0,0.0,0.0,0.0
