collectorNumber,foiled,inMyTradelist,inMyCollection,inMyWantlist,name_en,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_en,supportAbility_en,abilities_fr,supportAbility_fr,id,imagePath
BTG-008-C-EN,False,0,2,False,Foundry Engineer,Ingénieure de la Fonderie,Axiom,Common,Character,2,2,2,2,1,,,{R} The next Permanent you play this Afternoon costs {1} less.,,{R} Le prochain Permanent que vous jouez cet Après-midi coûte {1} de moins.,,ALT_CORE_B_AX_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_05/JPG/en_US/c5499b8de1a23996bc9f3d18f0771f9a.jpg
BTG-009-C-EN,False,0,1,False,"Jian, Assembly Overseer","Jian, Superviseur d'Assemblage",Axiom,Common,Character,2,2,3,2,0,,,,,,,ALT_CORE_B_AX_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/en_US/8a71802fe71a6a48e19317c6892d388a.jpg
BTG-009-R-EN,False,0,1,False,"Jian, Assembly Overseer","Jian, Superviseur d'Assemblage",Axiom,Rare,Character,2,2,3,2,0,,,,#{D} : Activate the {j} abilities of target Permanent you control.# (Discard me from Reserve to do this.),,#{D} : Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_10_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_10/JPG/en_US/d79c2a5e09e02d48c60d3f756adf1ba7.jpg
BTG-010-C-EN,False,0,1,False,Kelon Elemental,Élémentaire de Kélon,Axiom,Common,Character,2,2,1,3,3,,,{H} Put a card from your hand in Reserve.,,{H} Mettez une carte de votre main en Réserve.,,ALT_CORE_B_AX_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_04/JPG/en_US/fca50447c3db9ed73203afbacdd8cabf.jpg
BTG-011-C-EN,False,0,1,False,Ogun,Ogun,Axiom,Common,Character,2,2,2,1,1,,,{J} Robots you control gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{J} Les Robots que vous contrôlez gagnent 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_AX_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_06/JPG/en_US/4582213a2ce81af7e2e26b2c9157f0ef.jpg
BTG-012-C-EN,False,0,1,False,Amelia Earhart,Amelia Earhart,Axiom,Common,Character,3,1,2,2,2,,,,,,,ALT_CORE_B_AX_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_11/JPG/en_US/57757c194241d10245fe2877fd386070.jpg
BTG-013-C-EN,False,0,1,False,Foundry Armorer,Armurière de la Fonderie,Axiom,Common,Character,3,3,2,2,2,,,{R} Create a [Brassbug 2/2/2] Robot token in target Expedition.,,{R} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_16/JPG/en_US/52b09611562cb1ece4e551498e196419.jpg
BTG-014-C-EN,False,0,1,False,Three Little Pigs,Trois Petits Cochons,Axiom,Common,Character,3,3,3,3,3,,,"{J} If you control two or more Landmarks, I gain 1 boost[]. (Cards in Reserve are not controlled. A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Si vous contrôlez au moins deux Repères, je gagne 1 boost[]. (Les cartes en Réserve ne sont pas contrôlées. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_AX_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_12/JPG/en_US/ba4616a6d4fc186c6924dcb4ec50ff91.jpg
BTG-014-R-EN,False,0,1,False,Three Little Pigs,Trois Petits Cochons,Axiom,Rare,Character,3,3,3,3,3,,,"{J} If you control two or more Landmarks, I gain #2 boosts[]#. (Cards in Reserve are not controlled. A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Si vous contrôlez au moins deux Repères, je gagne #2 boosts[]#. (Les cartes en Réserve ne sont pas contrôlées. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_AX_12_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_12/JPG/en_US/ba4f5db97b78e2fbbf905230032e9c0e.jpg
BTG-015-C-EN,False,0,1,False,Tinker Bell,Fée Clochette,Axiom,Common,Character,3,3,1,3,3,,,{R} [Sabotage]. (Discard up to one target card from a Reserve.),,{R} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_CORE_B_AX_09_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_09/JPG/en_US/98b195c78bccb518a3a419b879b957d5.jpg
BTG-016-C-EN,False,0,1,False,Axiom Scrambler,Brouilleur Axiom,Axiom,Common,Character,4,3,2,4,2,,,{H} [Sabotage]. (Discard up to one target card from a Reserve.),,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_CORE_B_AX_15_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_15/JPG/en_US/2cd5d87a1e31a134a4adcf304d5a67ec.jpg
BTG-017-C-EN,False,0,2,False,Dr. Frankenstein,Dr Frankenstein,Axiom,Common,Character,4,3,3,3,3,,,{R} You may activate the {j} abilities of target Permanent you control.,,{R} Vous pouvez activer les capacités {j} d'un Permanent ciblé que vous contrôlez.,,ALT_CORE_B_AX_17_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_17/JPG/en_US/066a68332dcc46ee6e85bd088a1c2742.jpg
BTG-018-C-EN,False,0,2,False,Athena,Athéna,Axiom,Common,Character,5,3,3,4,4,,,"{R} If you control two or more Landmarks, I lose [[Fleeting]].",,"{R} Si vous contrôlez au moins deux Repères, je perds [[Fugace]].",,ALT_CORE_B_AX_18_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_18/JPG/en_US/2a600b4604cdaa8970a707e7554a4592.jpg
BTG-018-R-EN,False,0,1,False,Athena,Athéna,Axiom,Rare,Character,5,3,3,4,4,,,"#{H} If you control two or more Landmarks, I gain 2 boosts.#  {R} If you control two or more Landmarks, I lose [[Fleeting]].",,"#{H} Si vous contrôlez au moins deux Repères, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux Repères, je perds [[Fugace]].",,ALT_CORE_B_AX_18_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_18/JPG/en_US/0b341dd4ff9e0820aadfd3058290e569.jpg
BTG-018-F-EN,False,0,1,False,Athena,Athéna,Ordis,Rare,Character,5,3,3,4,4,,,"#{H} If you control two or more other Characters, I gain 2 boosts.#  {R} If you control two or more #other Characters#, I lose [[Fleeting]].",,"#{H} Si vous contrôlez au moins deux autres Personnages, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux #autres Personnages#, je perds [[Fugace]].",,ALT_COREKS_B_AX_18_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_18/JPG/en_US/60a8f10235fab281d45f774eb2a65047.jpg
BTG-018-F-EN,False,0,1,False,Athena,Athéna,Ordis,Rare,Character,5,3,3,4,4,,,"#{H} If you control two or more other Characters, I gain 2 boosts.#  {R} If you control two or more #other Characters#, I lose [[Fleeting]].",,"#{H} Si vous contrôlez au moins deux autres Personnages, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux #autres Personnages#, je perds [[Fugace]].",,ALT_CORE_B_AX_18_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_18/JPG/en_US/210b94514523f6f4d61700c4eb117414.jpg
BTG-019-C-EN,False,0,2,False,Ganesha,Ganesh,Axiom,Common,Character,7,7,5,5,5,,,"{J} For each Permanent you control, you may activate its {j} abilities.",,"{J} Pour chaque Permanent que vous contrôlez, vous pouvez activer ses capacités {j}.",,ALT_CORE_B_AX_19_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_19/JPG/en_US/5a7b541db79a9cde316804947c3ff06c.jpg
BTG-020-C-EN,False,0,1,False,Hooked,Happé,Axiom,Common,Spell,1,2,,,,,,Target Character switches Expeditions. (It leaves its Expedition and joins its controller's other Expedition.),,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),,ALT_CORE_B_AX_20_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_20/JPG/en_US/66472b5a222c8f14c171d8e9b5c17a8d.jpg
BTG-021-C-EN,False,0,1,False,Mechanical Training,Entraînement Mécanique,Axiom,Common,Spell,1,2,,,,,,Activate the {j} abilities of target Permanent you control.,,Activez les capacités {j} d'un Permanent ciblé que vous contrôlez.,,ALT_CORE_B_AX_22_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_22/JPG/en_US/6de108a30b501009e8ffdb9da84b4494.jpg
BTG-021-R-EN,False,0,1,False,Mechanical Training,Entraînement Mécanique,Axiom,Rare,Spell,#2#,2,,,,,,Activate the {j} abilities of #up to two# target Permanents you control.,,Activez les capacités {j} de #jusqu'à deux# Permanents ciblés que vous contrôlez.,,ALT_CORE_B_AX_22_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_22/JPG/en_US/6afb663ac6213e29454df202e9fcff8d.jpg
BTG-022-C-EN,False,0,3,False,Boom!,Boum !,Axiom,Common,Spell,3,3,,,,,,"[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Sacrifice a Character. If you do, discard target Character or Permanent.",,"[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Sacrifiez un Personnage. Si vous le faites, défaussez un Personnage ou un Permanent ciblé.",,ALT_CORE_B_AX_21_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_21/JPG/en_US/80e534db29e844920b80eeec1cdc5855.jpg
BTG-022-F-EN,False,0,1,True,Boom!,Boum !,Yzmir,Rare,Spell,3,3,,,,,,"[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Sacrifice a Character. If you do, discard target Character or Permanent.",,"[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Sacrifiez un Personnage. Si vous le faites, défaussez un Personnage ou un Permanent ciblé.",,ALT_CORE_B_AX_21_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_21/JPG/en_US/4fbe5f0143835139c2fba26c274cfe9e.jpg
BTG-023-C-EN,False,0,1,False,Kelon Burst,Décharge de Kélon,Axiom,Common,Spell,3,3,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé de Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé de Coût de Main {4} ou moins.,,ALT_CORE_B_AX_23_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_23/JPG/en_US/917efaa663dbfe67c758bd2a9a5a1ff2.jpg
BTG-023-R-EN,False,0,1,False,Kelon Burst,Décharge de Kélon,Axiom,Rare,Spell,#4#,#4#,,,,,,"[[Fleeting]].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.  #If you control two or more Landmarks, create a [Brassbug 2/2/2] Robot token in target Expedition.#",,"[[Fugace]].  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé de Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé de Coût de Main {4} ou moins.  #Si vous contrôlez au moins deux Repères, créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.#",,ALT_CORE_B_AX_23_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_23/JPG/en_US/86f8fb8f2e00afdf3ab27fafbaea7174.jpg
BTG-023-F-EN,False,0,2,False,Kelon Burst,Décharge de Kélon,Ordis,Rare,Spell,3,3,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé de Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé de Coût de Main {4} ou moins.,,ALT_CORE_B_AX_23_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_23/JPG/en_US/0dd636213cc0ee2b31666b7e0e503442.jpg
BTG-024-C-EN,False,0,1,False,Kelon Cylinder,Cylindre de Kélon,Axiom,Common,Permanent,1,1,,,,,,"{T} : I gain two Kelon counters.  {T}, Spend one of my Kelon counters: the next Character you play this turn gains 1 boost.",,"{T} : Je gagne deux compteurs Kelon.  {T}, dépensez un de mes compteurs Kelon : le prochain Personnage que vous jouez ce tour gagne 1 boost.",,ALT_CORE_B_AX_26_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_26/JPG/en_US/9590ce075962bd85134114fde824336c.jpg
BTG-024-F-EN,False,0,1,False,Kelon Cylinder,Cylindre de Kélon,Bravos,Rare,Permanent,1,1,,,,,,"{T} : I gain two Kelon counters.  {T}, Spend one of my Kelon counters: the next Character you play this turn gains 1 boost.",,"{T} : Je gagne deux compteurs Kelon.  {T}, dépensez un de mes compteurs Kelon : le prochain Personnage que vous jouez ce tour gagne 1 boost.",,ALT_CORE_B_AX_26_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_26/JPG/en_US/c904980301cf8f34c28840933b67d8f3.jpg
BTG-025-C-EN,False,0,2,False,Armored Jammer,Brouilleur Blindé,Axiom,Common,Permanent,2,2,,,,,,{J} [Sabotage]. (Discard up to one target card from a Reserve.),,{J} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_CORE_B_AX_28_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_28/JPG/en_US/f4c6689be6922539c5a3974f62150070.jpg
BTG-025-C-EN,False,0,1,False,Armored Jammer,Brouilleur Blindé,Axiom,Common,Permanent,2,2,,,,,,{J} [Sabotage]. (Discard up to one target card from a Reserve.),,{J} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_COREKS_B_AX_28_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_28/JPG/en_US/69a221e15bb6216586e194c0095d36f6.jpg
BTG-026-C-EN,False,0,2,False,Brassbug Hub,Hub des Scarabots,Axiom,Common,Permanent,3,3,,,,,,{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [Brassbug 2/2/2] Robot token in target Expedition.,,{J} Je gagne trois compteurs Kelon.  À Midi — Vous pouvez payer {1} et dépenser un de mes compteurs Kelon pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_24_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_24/JPG/en_US/051df7dd8dea4f41e2ad9e2dc8cae8f6.jpg
BTG-026-C-EN,False,0,1,False,Brassbug Hub,Hub des Scarabots,Axiom,Common,Permanent,3,3,,,,,,{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [Brassbug 2/2/2] Robot token in target Expedition.,,{J} Je gagne trois compteurs Kelon.  À Midi — Vous pouvez payer {1} et dépenser un de mes compteurs Kelon pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_24_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_24/JPG/en_US/6eb2cf2ee285a574dfe8dd52514134c6.jpg
BTG-027-C-EN,False,0,1,False,Kelonic Generator,Générateur Kélonique,Axiom,Common,Permanent,3,3,,,,,,"{2}, {T} : Draw a card.",,"{2}, {T} : Piochez une carte.",,ALT_CORE_B_AX_27_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_27/JPG/en_US/ea759aa0efcf6595d085a114a6b2b6b8.jpg
BTG-027-R-EN,False,0,1,False,Kelonic Generator,Générateur Kélonique,Axiom,Rare,Permanent,#4#,#4#,,,,,,"#{1}#, {T} : Draw a card.",,"#{1}#, {T} : Piochez une carte.",,ALT_CORE_B_AX_27_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_27/JPG/en_US/9a0a1b787bc3821588218f69652fc7d6.jpg
BTG-027-F-EN,False,0,1,False,Kelonic Generator,Générateur Kélonique,Ordis,Rare,Permanent,#4#,#4#,,,,,,"#{1}#, {T} : Draw a card.",,"#{1}#, {T} : Piochez une carte.",,ALT_CORE_B_AX_27_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_27/JPG/en_US/c64583e83bcf8ecdbaeabd237530145f.jpg
BTG-028-C-EN,False,0,1,False,"The Foundry, Axiom Bastion","La Fonderie, Bastion Axiom",Axiom,Common,Permanent,3,3,,,,,,{T} : The next Character you play from your hand this turn activates its {r} abilities (as if it had been played from Reserve).,,{T} : Le prochain Personnage que vous jouez de votre main ce tour-ci active ses capacités {r} (comme s'il avait été joué depuis la Réserve).,,ALT_CORE_B_AX_29_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_29/JPG/en_US/914a90e2044f9af8e6b2d8a817408dbd.jpg
BTG-029-R-EN,False,0,1,False,Axiom Reprocessor,Recycleur Axiom,Axiom,Rare,Permanent,4,4,,,,,,#{J} [Resupply].#  At Noon — [Resupply]. (Put the top card of your deck in Reserve.),,#{J} [Ravitaillez].#  À Midi — [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_25_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_25/JPG/en_US/215bfd61f1f1fb94935d4c36121b2318.jpg
BTG-029-F-EN,False,0,1,False,Axiom Reprocessor,Recycleur Axiom,Muna,Rare,Permanent,4,4,,,,,,At Noon — [Resupply]. (Put the top card of your deck in Reserve.),,À Midi — [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_25_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_25/JPG/en_US/2de0348b26e1359359c8b4df9416c087.jpg
BTG-030-C-EN,False,0,2,False,Brassbug Hive,Ruche des Scarabots,Axiom,Common,Permanent,5,5,,,,,,{J} Create a [Brassbug 2/2/2] Robot token in target Expedition.  At Noon — Create a [Brassbug 2/2/2] Robot token in target Expedition.,,{J} Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.  À Midi — Créez un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_30_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_30/JPG/en_US/a881eda7713c62972c326b479fa5376d.jpg
BTG-032-H-EN,False,0,1,False,Atsadi & Surge,Atsadi & Surge,Bravos,Common,Hero,,,,,,2,2,I begin the game with five Heroism counters.  When you play a Character with Hand Cost greater than or equal to my number of Heroism counters — Draw a card and I gain a Heroism counter.,,Je commence la partie avec cinq compteurs Héroïsme.  Lorsque vous jouez un Personnage de Coût de Main supérieur ou égal à mon nombre de compteurs Héroïsme — Piochez une carte et je gagne un compteur Héroïsme.,,ALT_CORE_B_BR_02_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_02/JPG/en_US/ae00b0c9f33eb5a9191fff575288bade.jpg
BTG-033-H-EN,False,0,1,False,Basira & Kaizaimon,Basira & Kaizaimon,Bravos,Common,Hero,,,,,,2,2,When a Character you control gains 1 or more boosts — You may exhaust me ({T}) to have target Character gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,Lorsqu'un Personnage que vous contrôlez gagne au moins 1 boost — Vous pouvez m'épuiser ({T}) pour qu’un Personnage ciblé gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_03/JPG/en_US/b27b8cb40203be36c7b02facdc3406b7.jpg
